"#OG id"	"OG name"	"uberon mapping status"	"entity"	"entity name"	"qualifier"	"HOM ID"	"reference"	"ECO ID"	"ECO name"	"CIO ID"	"confidence  code name"	"taxon ID"	"taxon name"	"supporting text"	"assigned by"	"curator"	"date"	"comment"																																																																					
"OG:0001477"	"hyaloid cavity"	"ok 1X"	"UBERON:0005606"	"hyaloid cavity"		"HOM:0000007"	"DOI:10.1387/ijdb.041895ms ""Saint-Geniez M, D'Amore PA, Development and pathology of the hyaloid, choroidal and retinal vasculature. International Journal of Developmental Biology (2004)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	40674	"Mammalia"	"The hyaloid cavity or hyaloid fossa is a reminiscence of the hyaloid vasculature, the transient embryonic vascular bed which is complete at birth in mammals and regresses contemporaneously with the formation of the retinal vasculature. [curator]"	"bgee"	"ANN"	"2013-06-21"																																																																						
"OG:0001533"	"cell"	"ok 1X"	"CL:0000000"	"cell"		"HOM:0000007"	"DOI:10.1073/pnas.032658599 ""Hartman H, Fedorov A, The origin of the eukaryotic cell: A genomic investigation. PNAS (2002)"""	"ECO:0000033"	"traceable author statement"	"CIO:0000004"	"Medium confidence assertion"	2759	"Eukaryota"	"We have collected a set of 347 proteins that are found in eukaryotic cells but have no significant homology to proteins in Archaea and Bacteria. We call these proteins eukaryotic signature proteins (ESPs). The dominant hypothesis for the formation of the eukaryotic cell is that it is a fusion of an archaeon with a bacterium. If this hypothesis is accepted then the three cellular domains, Eukarya, Archaea, and Bacteria, would collapse into two cellular domains. We have used the existence of this set of ESPs to test this hypothesis. The evidence of the ESPs implicates a third cell (chronocyte) in the formation of the eukaryotic cell. [...] The eukaryotic cell is not a simple fusion of an archaeon and bacterium. This statement is borne out by the existence of 347 ESPs. [...] We agree with Horiike et al. that the nucleus is an endosymbiont with inputs from Bacteria and Archaea. We disagree that the host cell came from the Bacteria. The host cell or chronocyte was not a prokaryotic cell but one that had a cytoskeleton composed of actin and tubulin and an extensive membrane system."	"bgee"	"ANN"	"2013-06-21"																																																																						
		"no VHOG equivalent"	"CL:0000255"	"eukaryotic cell"		"HOM:0000007"	"DOI:10.1073/pnas.032658599 ""Hartman H, Fedorov A, The origin of the eukaryotic cell: A genomic investigation. PNAS (2002)"""	"ECO:0000033"	"traceable author statement"	"CIO:0000003"	"High confidence assertion"	2759	"Eukaryota"	"We have collected a set of 347 proteins that are found in eukaryotic cells but have no significant homology to proteins in Archaea and Bacteria. We call these proteins eukaryotic signature proteins (ESPs). The dominant hypothesis for the formation of the eukaryotic cell is that it is a fusion of an archaeon with a bacterium. If this hypothesis is accepted then the three cellular domains, Eukarya, Archaea, and Bacteria, would collapse into two cellular domains. We have used the existence of this set of ESPs to test this hypothesis. The evidence of the ESPs implicates a third cell (chronocyte) in the formation of the eukaryotic cell. [...] The eukaryotic cell is not a simple fusion of an archaeon and bacterium. This statement is borne out by the existence of 347 ESPs. [...] We agree with Horiike et al. that the nucleus is an endosymbiont with inputs from Bacteria and Archaea. We disagree that the host cell came from the Bacteria. The host cell or chronocyte was not a prokaryotic cell but one that had a cytoskeleton composed of actin and tubulin and an extensive membrane system."	"bgee"	"ANN"	"2013-11-29"																																																																						
"OG:0000790"	"interventricular groove"	"ok 1X"	"UBERON:0005455"	"interventricular groove"		"HOM:0000007"	"DOI:10.1038/nature08324 ""Koshiba-Takeuchi K, Mori AD, Kaynak BL, Cebra-Thomas J, Sukonnik T, Georges RO, Latham S, Beck L, Henkelman RM, Black BL, Olson EN, Wade J, Takeuchi JK, Nemer M, Gilbert SF, Bruneau BG, Reptilian heart development and the molecular basis of cardiac chamber evolution. Nature (2009)"""	"ECO:0000205"	"curator inference"	"CIO:0000004"	"Medium confidence assertion"	40674	"Mammalia"	"Amphibians have a three-chambered heart, whereas mammalian, crocodilian and avian hearts have four chambers, two each for pulmonary and systemic circulations. The acquisition of a fully septated ventricle has evolved independently in birds, mammals and crocodilians, and is an important example of convergent evolution."	"bgee"	"ANN"	"2015-03-30"																																																																						
"OG:0000790"	"interventricular groove"	"ok 1X"	"UBERON:0005455"	"interventricular groove"		"HOM:0000007"	"DOI:10.1038/nature08324 ""Koshiba-Takeuchi K, Mori AD, Kaynak BL, Cebra-Thomas J, Sukonnik T, Georges RO, Latham S, Beck L, Henkelman RM, Black BL, Olson EN, Wade J, Takeuchi JK, Nemer M, Gilbert SF, Bruneau BG, Reptilian heart development and the molecular basis of cardiac chamber evolution. Nature (2009)"""	"ECO:0000205"	"curator inference"	"CIO:0000004"	"Medium confidence assertion"	8782	"Aves"	"Amphibians have a three-chambered heart, whereas mammalian, crocodilian and avian hearts have four chambers, two each for pulmonary and systemic circulations. The acquisition of a fully septated ventricle has evolved independently in birds, mammals and crocodilians, and is an important example of convergent evolution."	"bgee"	"ANN"	"2015-03-30"																																																																						
"OG:0000790"	"interventricular groove"	"ok 1X"	"UBERON:0005455"	"interventricular groove"		"HOM:0000007"	"DOI:10.1038/nature08324 ""Koshiba-Takeuchi K, Mori AD, Kaynak BL, Cebra-Thomas J, Sukonnik T, Georges RO, Latham S, Beck L, Henkelman RM, Black BL, Olson EN, Wade J, Takeuchi JK, Nemer M, Gilbert SF, Bruneau BG, Reptilian heart development and the molecular basis of cardiac chamber evolution. Nature (2009)"""	"ECO:0000205"	"curator inference"	"CIO:0000004"	"Medium confidence assertion"	1294634	"Crocodylia"	"Amphibians have a three-chambered heart, whereas mammalian, crocodilian and avian hearts have four chambers, two each for pulmonary and systemic circulations. The acquisition of a fully septated ventricle has evolved independently in birds, mammals and crocodilians, and is an important example of convergent evolution."	"bgee"	"ANN"	"2015-03-30"																																																																						
"OG:0000790"	"interventricular groove"	"ok 1X"	"UBERON:0005455"	"interventricular groove"	"NOT"	"HOM:0000007"	"DOI:10.1038/nature08324 ""Koshiba-Takeuchi K, Mori AD, Kaynak BL, Cebra-Thomas J, Sukonnik T, Georges RO, Latham S, Beck L, Henkelman RM, Black BL, Olson EN, Wade J, Takeuchi JK, Nemer M, Gilbert SF, Bruneau BG, Reptilian heart development and the molecular basis of cardiac chamber evolution. Nature (2009)"""	"ECO:0000205"	"curator inference"	"CIO:0000004"	"Medium confidence assertion"	32524	"Amniota"	"Amphibians have a three-chambered heart, whereas mammalian, crocodilian and avian hearts have four chambers, two each for pulmonary and systemic circulations. The acquisition of a fully septated ventricle has evolved independently in birds, mammals and crocodilians, and is an important example of convergent evolution."	"bgee"	"ANN"	"2015-03-30"	"NOT for independent evolution"																																																																					
"OG:0001113"	"jugular foramen"	"ok 1X"	"UBERON:0005456"	"jugular foramen"		"HOM:0000007"	"DOI:10.1126/science.1058476 ""Luo ZX, Crompton AW, Sun AL, A new mammaliaform from the early Jurassic and evolution of mammalian characteristics. Science (2001)"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000003"	"High confidence assertion"	40674	"Mammalia"	"Jugular foramen is one of the derived skull characteristics described in Hadrocodium, an early Jurassic mammaliaform. [curator]"	"bgee"	"ANN"	"2013-06-21"																																																																						
"OG:0000826"	"foramen caecum"	"issue, in Uberon VHOG:0000826 mapped UBERON:0001761 foramen caecum of thyroid [resolved]"	"UBERON:0006699"	"foramen caecum of tongue"		"HOM:0000007"	"DOI:10.1210/er.2003-0028 ""De Felice M, Di Lauro R, Thyroid development and its disorders: genetics and molecular mechanisms. Endocrine Reviews (2004)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	40674	"Mammalia"	"By E10, the thyroid primordium appears as a flask-like structure with a narrow neck that rapidly becomes a diverticulum. A small hole at the site of origin in the pharyngeal floor (the foramen cecum) is the remnant of the anlage, connected with the migrating thyroid primordium by a narrow channel (the thyroglossal duct)."	"bgee"	"ANN"	"2015-04-01"	"see https://github.com/obophenotype/uberon/issues/281?source=cc"																																																																					
"OG:0001566"	"mesovarium"	"ok 1X"	"UBERON:0001342"	"mesovarium"		"HOM:0000007"	"ISBN:978-0072528305 ""Kardong KV, Vertebrates: Comparative Anatomy, Function, Evolution (2006) Chapter 6, Integument, p.560 and Figure 14.23 p.561"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000003"	"High confidence assertion"	7742	"Vertebrata"	"The mesovarium is part of female reproductive system in all vertebrates and even present in hagfish. [curator]"	"bgee"	"ANN"	"2013-07-03"																																																																						
"OG:0001566"	"mesovarium"	"ok 1X"	"UBERON:0001342"	"mesovarium"		"HOM:0000007"	"ISBN:978-0072528305 ""Kardong KV, Vertebrates: Comparative Anatomy, Function, Evolution (2006) Chapter 6, Integument, p.560 and Figure 14.23 p.561"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000004"	"Medium confidence assertion"	89593	"Craniata"	"The mesovarium is part of female reproductive system in all vertebrates and even present in hagfish. [curator]"	"bgee"	"ANN"	"2013-07-03"																																																																						
"//OG:0000671"	"whole organism"	"issue, VHOG:0000671 in Uberon mapped 1x and on UBERON:0000468 multi-cellular organism"	"UBERON:0000467; UBERON:0000468"	"anatomical system, multi-cellular organism"		"HOM:0000007"		"ECO:0000205"	"curator inference"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"		"bgee"	"ANN"	"2013-07-03"	"this OG contains the root of the ontologies as well as the term that corresponds to the whole body of the animal; warning: whole organism=FBbt:00007001 (anatomical structure) in Drosophila but some Drosophila data are also reported on FBbt:00000001: organism (which is deeply in the ontology tree...)"																																																																					
"//"	"stages"																																																																																						
		"has VHOG xref: VHOG:0000745 (zygote) but the VHOG is anatomical, not stage"	"UBERON:0000106"	"zygote stage"		"HOM:0000007"	"ISBN:978-0030259821 ""Ruppert EE, Fox RS, Barnes RD, Invertebrate zoology: a functional evolutionary approach (2003) p.107"""	"ECO:0000034"	"non-traceable author statement"	"CIO:0000003"	"High confidence assertion"	33208	"Metazoa"	"As in all metazoans, eumetazoan development begins with a fertilized egg, or zygote."	"bgee"	"ANN"	"2013-10-04"																																																																						
			"UBERON:0000066"	"fully formed stage"		"HOM:0000007"	"PMID:23957497 ""Nielsen C, Life cycle evolution: was the eumetazoan ancestor a holopelagic, planktotrophic gastraea? BMC Evol Biol (2013)"""	"ECO:0000034"	"non-traceable author statement"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"All the available information is strongly in favor of multiple evolution of non-planktotrophic development, and only the terminal addition theory is in accordance with the Darwinian theory by explaining the evolution through continuous series of adaptational changes. This implies that the ancestor of the eumetazoans was a holopelagic, planktotrophic gastraea, and that the adult stages of cnidarians (sessile) and bilaterians (creeping) were later additions to the life cycle. It further implies that the various larval types are of considerable phylogenetic value."	"bgee"	"ANN"	"2013-10-04"	"Bilateria and Cnidaria are sisters, parents = Eumetazoa"																																																																					
			"UBERON:0000066"	"fully formed stage"		"HOM:0000007"	"PMID:23957497 ""Nielsen C, Life cycle evolution: was the eumetazoan ancestor a holopelagic, planktotrophic gastraea? BMC Evol Biol (2013)"""	"ECO:0000034"	"non-traceable author statement"	"CIO:0000003"	"High confidence assertion"	6073	"Cnidaria"	"All the available information is strongly in favor of multiple evolution of non-planktotrophic development, and only the terminal addition theory is in accordance with the Darwinian theory by explaining the evolution through continuous series of adaptational changes. This implies that the ancestor of the eumetazoans was a holopelagic, planktotrophic gastraea, and that the adult stages of cnidarians (sessile) and bilaterians (creeping) were later additions to the life cycle. It further implies that the various larval types are of considerable phylogenetic value."	"bgee"	"ANN"	"2013-10-04"	"Bilateria and Cnidaria are sisters, parents = Eumetazoa"																																																																					
			"UBERON:0000066"	"fully formed stage"		"HOM:0000007"	"PMID:20083640 ""Arenas-Mena C, Indirect development, transdifferentiation and the macroregulatory evolution of metazoans. Philos Trans R Soc Lond B Biol Sci (2010)"""	"ECO:0000034"	"non-traceable author statement"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"The adult stages of bilaterians are generally considered homologous, at least at a very deep level, but we do not know if the feeding ciliated larvae of indirectly developing protostomes and deuterostomes represent convergent adaptations or derive from a larva already present in the life cycle of the PDA."	"bgee"	"ANN"	"2013-10-04"	"protostome + deuterostome = bilaterian"																																																																					
			"UBERON:0000069"	"larval stage"		"HOM:0000007"	"PMID:20083640 ""Arenas-Mena C, Indirect development, transdifferentiation and the macroregulatory evolution of metazoans. Philos Trans R Soc Lond B Biol Sci (2010)"""	"ECO:0000034"	"non-traceable author statement"	"CIO:0000005"	"Low confidence assertion"	33213	"Bilateria"	"The adult stages of bilaterians are generally considered homologous, at least at a very deep level, but we do not know if the feeding ciliated larvae of indirectly developing protostomes and deuterostomes represent convergent adaptations or derive from a larva already present in the life cycle of the PDA."	"bgee"	"ANN"	"2013-10-04"	"def: ""a distinct juvenile stage many animals undergo before metamorphosis into adults. Animals with indirect development such as insects [Protostomia], amphibians [Deuterostomia], or cnidarians [neither Protostomia nor Deuterostomia, not Bilateria but sister of Bilateria] typically have a larval phase of their life cycle."" [Wikipedia:Larva] comment: It is a misunderstanding that the larval form always reflects the group's evolutionary history. It could be the case, but often the larval stage has evolved secondarily, as in insects. In these cases the larval form might differ more from the group's common origin than the adult form[WP]. Uberon includes clade-specific subclasses."																																																																					
			"UBERON:0004707"	"pharyngula stage"		"HOM:0000007"	"PMID:12116482 ""Collazo A, Developmental variation, homology, and the pharyngula stage. Syst Biol (2000)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"(...) modern cell and molecular biology are providing a better and more detailed understanding of development, even at an embryonic stage (the pharyngula) that is thought to be highly conserved across vertebrates. (...) The pharyngula, the phylotypic and zootypic stage of vertebrates, has been thought to be highly conserved, but looking at the development of the neural crest reveals interspecific variation."	"bgee"	"ANN"	"2013-10-04"																																																																						
			"UBERON:0004707"	"pharyngula stage"		"HOM:0000007"	"PMID:23637639 ""Piasecka B, Lichocki P, Moretti S, Bergmann S, Robinson-Rechavi M, The hourglass and the early conservation models--co-existing patterns of developmental constraints in vertebrates. PLoS Genet (2013)"""	"ECO:0000075"	"gene expression similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"mid-developmental processes have extremely high conservation of regulation. This conservation could translate into observed common traits of the phylum expressed at the phenotypic level during mid-development. In addition, core developmental genes are known to be present in different taxa (e.g., nematodes, insects and vertebrates), in each of which they have a conserved regulation that evolved in parallel [47]. This could explain why the phylotypic stage is observed not only in vertebrates [49], but also in other phyla, e.g., in arthropods [4], [12]."	"bgee"	"ANN"	"2013-10-04"	"synonym: ""phylotypic stage"" EXACT []"																																																																					
			"UBERON:0000068"	"embryo stage"		"HOM:0000007"	"PMID:23799133 ""Schep AN, Adryan B, A comparative analysis of transcription factor expression during metazoan embryonic development. PLoS One (2013)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"During metazoan embryonic development, a single cell grows, divides, and differentiates into a complex organism with numerous distinct tissues. While the specifics of embryogenesis differ between animal species, all bilateria share certain features of development"	"bgee"	"ANN"	"2013-10-07"																																																																						
			"UBERON:0000068"	"embryo stage"		"HOM:0000007"	"PMID:23799133 ""Schep AN, Adryan B, A comparative analysis of transcription factor expression during metazoan embryonic development. PLoS One (2013)"""	"ECO:0000075"	"gene expression similarity evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"The pattern of TF expression and TF family utilization throughout development appears to be largely similar in a diverse group of species including two vertebrates (Xenopus tropicalis and Danio rerio) and four invertebrates (Ciona intestinalis, Caenorhabditis elegans, Anopheles gambiae and Drosophila melanogaster)."	"bgee"	"ANN"	"2013-10-07"	"protostome + deuterostome = bilaterian"																																																																					
			"UBERON:0000107"	"cleavage stage"		"HOM:0000007"	"PMID:23799133 ""Schep AN, Adryan B, A comparative analysis of transcription factor expression during metazoan embryonic development. PLoS One (2013)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"During metazoan embryonic development, a single cell grows, divides, and differentiates into a complex organism with numerous distinct tissues. While the specifics of embryogenesis differ between animal species, all bilateria share certain features of development. Repeated cleavage divisions follow egg fertilization and activation. During gastrulation, the three major germ layers are formed, and during organogenesis those germ layers differentiate into the organs of the animal"	"bgee"	"ANN"	"2013-10-07"																																																																						
			"UBERON:0000109"	"gastrula stage"		"HOM:0000007"	"PMID:23799133 ""Schep AN, Adryan B, A comparative analysis of transcription factor expression during metazoan embryonic development. PLoS One (2013)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"During metazoan embryonic development, a single cell grows, divides, and differentiates into a complex organism with numerous distinct tissues. While the specifics of embryogenesis differ between animal species, all bilateria share certain features of development. Repeated cleavage divisions follow egg fertilization and activation. During gastrulation, the three major germ layers are formed, and during organogenesis those germ layers differentiate into the organs of the animal"	"bgee"	"ANN"	"2013-10-07"																																																																						
			"UBERON:0000111"	"organogenesis stage"		"HOM:0000007"	"PMID:23799133 ""Schep AN, Adryan B, A comparative analysis of transcription factor expression during metazoan embryonic development. PLoS One (2013)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"During metazoan embryonic development, a single cell grows, divides, and differentiates into a complex organism with numerous distinct tissues. While the specifics of embryogenesis differ between animal species, all bilateria share certain features of development. Repeated cleavage divisions follow egg fertilization and activation. During gastrulation, the three major germ layers are formed, and during organogenesis those germ layers differentiate into the organs of the animal"	"bgee"	"ANN"	"2013-10-07"																																																																						
"//"	"nervous"																																																																																						
"OG:0000402"	"nervous system"	"ok 1X"	"UBERON:0001016"	"nervous system"		"HOM:0000007"	"ISBN:978-0198566694 ""Schmidt-Rhaesa A, The evolution of organ systems (2007) p.117"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000003"	"High confidence assertion"	6072	"Eumetazoa"	"Nervous systems evolved in the ancestor of Eumetazoa."	"bgee"	"ANN"	"2013-06-10"																																																																						
		"ok 1X"	"UBERON:0001017"	"central nervous system"		"HOM:0000007"	"DOI:10.1016/j.cell.2007.02.040 ""Denes AS, Jekely G, Steinmetz PRH, Raible F, Snyman H, Prud'homme B, Ferrier DEK, Balavoine G and Arendt D, Molecular architecture of annelid nerve cord supports common origin of nervous system centralization in Bilateria. Cell (2007)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	33213	"Bilateria"	"Taken together, our data make a very strong case that the complex molecular mediolateral architecture of the developing trunk CNS (central nervous system), as shared between Platynereis and vertebrates, was already present in their last common ancestor, Urbilateria. The concept of bilaterian nervous system centralization implies that neuron types concentrate on one side of the trunk, as is the case in vertebrates and many invertebrates including Platynereis, where they segregate and become spatially organized (as opposed to a diffuse nerve net). Our data reveal that a large part of the spatial organization of the annelid and vertebrate CNS was already present in their last common ancestor, which implies that Urbilateria had already possessed a CNS"	"bgee"	"ANN"	"2013-10-18"																																																																						
		"ok 1X"	"UBERON:0001017"	"central nervous system"		"HOM:0000007"	"DOI:10.1016/j.cell.2007.02.040 ""Denes AS, Jekely G, Steinmetz PRH, Raible F, Snyman H, Prud'homme B, Ferrier DEK, Balavoine G and Arendt D, Molecular architecture of annelid nerve cord supports common origin of nervous system centralization in Bilateria. Cell (2007)"""	"ECO:0000060"	"positional similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	33213	"Bilateria"	"Taken together, our data make a very strong case that the complex molecular mediolateral architecture of the developing trunk CNS (central nervous system), as shared between Platynereis and vertebrates, was already present in their last common ancestor, Urbilateria. The concept of bilaterian nervous system centralization implies that neuron types concentrate on one side of the trunk, as is the case in vertebrates and many invertebrates including Platynereis, where they segregate and become spatially organized (as opposed to a diffuse nerve net). Our data reveal that a large part of the spatial organization of the annelid and vertebrate CNS was already present in their last common ancestor, which implies that Urbilateria had already possessed a CNS"	"bgee"	"ANN"	"2013-10-18"																																																																						
		"ok 1X"	"UBERON:0001017"	"central nervous system"		"HOM:0000007"	"DOI:10.1016/j.cell.2007.02.040 ""Denes AS, Jekely G, Steinmetz PRH, Raible F, Snyman H, Prud'homme B, Ferrier DEK, Balavoine G and Arendt D, Molecular architecture of annelid nerve cord supports common origin of nervous system centralization in Bilateria. Cell (2007)"""	"ECO:0000075"	"gene expression similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	33213	"Bilateria"	"Comparing nervous system development in annelids to that of other bilaterians could provide valuable information about the common ancestor of all Bilateria. We find that the Platynereis neuroectoderm is subdivided into longitudinal progenitor domains by partially overlapping expression regions of nk and pax genes. These domains match corresponding domains in the vertebrate neural tube and give rise to conserved neural cell types. As in vertebrates, neural patterning genes are sensitive to Bmp signaling. Our data indicate that this mediolateral architecture was present in the last common bilaterian ancestor and thus support a common origin of nervous system centralization in Bilateria."	"bgee"	"ANN"	"2013-10-18"																																																																						
